allele_id,allele_name,allele_type,allele_description,dna_changes,aa_changes
S000000037-KanMX,cyc3,Disruption marked with KanMX,NA,NA,NA
S000000035-KanMX,yal037w,Disruption marked with KanMX,NA,NA,NA
S000000034-KanMX,rbg1,Disruption marked with KanMX,NA,NA,NA
S000000033-KanMX,fun12,Disruption marked with KanMX,NA,NA,NA
S000002134-KanMX,fun19,Disruption marked with KanMX,NA,NA,NA
S000000029-KanMX,gip4,Disruption marked with KanMX,NA,NA,NA
S000000028-KanMX,snc1,Disruption marked with KanMX,NA,NA,NA
S000000027-KanMX,myo4,Disruption marked with KanMX,NA,NA,NA
S000000026-KanMX,frt2,Disruption marked with KanMX,NA,NA,NA
S000000025-KanMX,saw1,Disruption marked with KanMX,NA,NA,NA
S000000024-KanMX,drs2,Disruption marked with KanMX,NA,NA,NA
S000000021-KanMX,pmt2,Disruption marked with KanMX,NA,NA,NA
S000000020-KanMX,fun26,Disruption marked with KanMX,NA,NA,NA
S000000019-KanMX,ccr4,Disruption marked with KanMX,NA,NA,NA
S000000018-KanMX,ats1,Disruption marked with KanMX,NA,NA,NA
S000000017-KanMX,fun30,Disruption marked with KanMX,NA,NA,NA
S000000016-KanMX,lds1,Disruption marked with KanMX,NA,NA,NA
S000000015-KanMX,psk1,Disruption marked with KanMX,NA,NA,NA
S000000013-KanMX,ntg1,Disruption marked with KanMX,NA,NA,NA
S000000012-KanMX,syn8,Disruption marked with KanMX,NA,NA,NA
S000000011-KanMX,dep1,Disruption marked with KanMX,NA,NA,NA
S000000009-KanMX,swc3,Disruption marked with KanMX,NA,NA,NA
S000000008-KanMX,mdm10,Disruption marked with KanMX,NA,NA,NA
S000000007-KanMX,spo7,Disruption marked with KanMX,NA,NA,NA
S000000006-KanMX,fun14,Disruption marked with KanMX,NA,NA,NA
S000000005-KanMX,erp2,Disruption marked with KanMX,NA,NA,NA
S000002136-KanMX,yal004w,Disruption marked with KanMX,NA,NA,NA
S000000004-KanMX,ssa1,Disruption marked with KanMX,NA,NA,NA
S000000063-KanMX,nup60,Disruption marked with KanMX,NA,NA,NA
S000000064-KanMX,swd1,Disruption marked with KanMX,NA,NA,NA
S000000069-KanMX,bud14,Disruption marked with KanMX,NA,NA,NA
S000000070-KanMX,ade1,Disruption marked with KanMX,NA,NA,NA
S000000071-KanMX,kin3,Disruption marked with KanMX,NA,NA,NA
S000000073-KanMX,pau7,Disruption marked with KanMX,NA,NA,NA
S000000074-KanMX,yar023c,Disruption marked with KanMX,NA,NA,NA
S000000075-KanMX,uip3,Disruption marked with KanMX,NA,NA,NA
S000000076-KanMX,yar028w,Disruption marked with KanMX,NA,NA,NA
S000000077-KanMX,yar029w,Disruption marked with KanMX,NA,NA,NA
S000000078-KanMX,prm9,Disruption marked with KanMX,NA,NA,NA
S000001821-KanMX,yar030c,Disruption marked with KanMX,NA,NA,NA
S000000080-KanMX,yat1,Disruption marked with KanMX,NA,NA,NA
YAR037W-KanMX,NA,Disruption marked with KanMX,NA,NA,NA
YAR040C-KanMX,NA,Disruption marked with KanMX,NA,NA,NA
S000000081-KanMX,swh1,Disruption marked with KanMX,NA,NA,NA
S000120182-KanMX,NA,Disruption marked with KanMX,NA,NA,NA
S000000083-KanMX,yar047c,Disruption marked with KanMX,NA,NA,NA
S000004554-KanMX,yml089c,Disruption marked with KanMX,NA,NA,NA
S000004553-KanMX,ufo1,Disruption marked with KanMX,NA,NA,NA
S000004552-KanMX,aim33,Disruption marked with KanMX,NA,NA,NA
S000004551-KanMX,alo1,Disruption marked with KanMX,NA,NA,NA
S000004549-KanMX,yml084w,Disruption marked with KanMX,NA,NA,NA
S000004548-KanMX,yml083c,Disruption marked with KanMX,NA,NA,NA
S000004547-KanMX,yml082w,Disruption marked with KanMX,NA,NA,NA
S000004546-KanMX,tda9,Disruption marked with KanMX,NA,NA,NA
S000004545-KanMX,dus1,Disruption marked with KanMX,NA,NA,NA
S000004544-KanMX,yml079w,Disruption marked with KanMX,NA,NA,NA
S000004543-KanMX,cpr3,Disruption marked with KanMX,NA,NA,NA
S000004528-KanMX,rps1b,Disruption marked with KanMX,NA,NA,NA
S000004527-KanMX,mft1,Disruption marked with KanMX,NA,NA,NA
S000004526-KanMX,pif1,Disruption marked with KanMX,NA,NA,NA
S000004525-KanMX,ogg1,Disruption marked with KanMX,NA,NA,NA
S000004524-KanMX,nte1,Disruption marked with KanMX,NA,NA,NA
S000004523-KanMX,sml1,Disruption marked with KanMX,NA,NA,NA
