allele_id,allele_name,allele_type,allele_description,dna_changes,aa_changes
S000000115,APN2,NA,NA,NA,NA
S000000116,RFT1,NA,NA,NA,NA
S000000117,HAP3,NA,NA,NA,NA
S000000118,PIM1,NA,NA,NA,NA
S000000119,MCM2,NA,NA,NA,NA
S000000120,NCL1,NA,NA,NA,NA
S000000121,RRN10,NA,NA,NA,NA
S000000122,LSM2,NA,NA,NA,NA
S000000123,RPL19B,NA,NA,NA,NA
S000000124,YBL028C,NA,NA,NA,NA
S000000125,YBL029W,NA,NA,NA,NA
S000000126,PET9,NA,NA,NA,NA
S000000127,SHE1,NA,NA,NA,NA
S000000128,HEK2,NA,NA,NA,NA
S000000129,RIB1,NA,NA,NA,NA
S000000130,STU1,NA,NA,NA,NA
S000000131,POL12,NA,NA,NA,NA
S000000132,YBL036C,NA,NA,NA,NA
S000000133,APL3,NA,NA,NA,NA
S000000134,MRPL16,NA,NA,NA,NA
S000000135,URA7,NA,NA,NA,NA
S000000136,ERD2,NA,NA,NA,NA
S000000137,PRE7,NA,NA,NA,NA
S000000138,FUI1,NA,NA,NA,NA
S000000139,ECM13,NA,NA,NA,NA
S000000140,YBL044W,NA,NA,NA,NA
S000000141,COR1,NA,NA,NA,NA
S000000142,PSY4,NA,NA,NA,NA
S000000143,EDE1,NA,NA,NA,NA
S000000144,RRT1,NA,NA,NA,NA
S000000145,MOH1,NA,NA,NA,NA
S000000146,SEC17,NA,NA,NA,NA
S000000147,PIN4,NA,NA,NA,NA
S000000148,SAS3,NA,NA,NA,NA
S000000149,YBL053W,NA,NA,NA,NA
S000000150,TOD6,NA,NA,NA,NA
S000000151,YBL055C,NA,NA,NA,NA
S000000152,PTC3,NA,NA,NA,NA
S000000153,PTH2,NA,NA,NA,NA
S000000154,SHP1,NA,NA,NA,NA
S000000155,YBL059W,NA,NA,NA,NA
S000000156,YEL1,NA,NA,NA,NA
S000000157,SKT5,NA,NA,NA,NA
S000000158,YBL062W,NA,NA,NA,NA
S000000159,KIP1,NA,NA,NA,NA
S000000160,PRX1,NA,NA,NA,NA
S000000161,YBL065W,NA,NA,NA,NA
S000000162,SEF1,NA,NA,NA,NA
S000000163,UBP13,NA,NA,NA,NA
S000000164,PRS4,NA,NA,NA,NA
S000000165,AST1,NA,NA,NA,NA
S000000166,YBL070C,NA,NA,NA,NA
S000000167,YBL071C,NA,NA,NA,NA
S000000168,RPS8A,NA,NA,NA,NA
S000000169,YBL073W,NA,NA,NA,NA
S000000170,AAR2,NA,NA,NA,NA
S000000171,SSA3,NA,NA,NA,NA
S000000172,ILS1,NA,NA,NA,NA
S000000173,YBL077W,NA,NA,NA,NA
S000000174,ATG8,NA,NA,NA,NA
S000000175,NUP170,NA,NA,NA,NA
S000000176,PET112,NA,NA,NA,NA
S000000177,YBL081W,NA,NA,NA,NA
S000000178,ALG3,NA,NA,NA,NA
S000000179,YBL083C,NA,NA,NA,NA
S000000180,CDC27,NA,NA,NA,NA
S000000181,BOI1,NA,NA,NA,NA
S000000182,YBL086C,NA,NA,NA,NA
S000000183,RPL23A,NA,NA,NA,NA
S000000184,TEL1,NA,NA,NA,NA
S000000185,AVT5,NA,NA,NA,NA
S000000186,MRP21,NA,NA,NA,NA
S000000187,MAP2,NA,NA,NA,NA
S000000188,RPL32,NA,NA,NA,NA
S000000189,ROX3,NA,NA,NA,NA
S000000190,YBL094C,NA,NA,NA,NA
S000000191,YBL095W,NA,NA,NA,NA
S000000192,YBL096C,NA,NA,NA,NA
S000000193,BRN1,NA,NA,NA,NA
S000000194,BNA4,NA,NA,NA,NA
S000000195,ATP1,NA,NA,NA,NA
S000000196,YBL100C,NA,NA,NA,NA
S000000197,ECM21,NA,NA,NA,NA
S000000198,SFT2,NA,NA,NA,NA
S000000199,RTG3,NA,NA,NA,NA
S000000200,SEA4,NA,NA,NA,NA
S000000201,PKC1,NA,NA,NA,NA
S000000202,SRO77,NA,NA,NA,NA
S000000203,MIX23,NA,NA,NA,NA
S000000204,YBL108W,NA,NA,NA,NA
S000000205,NTH2,NA,NA,NA,NA
S000000206,RER2,NA,NA,NA,NA
S000000207,COQ1,NA,NA,NA,NA
S000000208,GPI18,NA,NA,NA,NA
S000000209,RCR1,NA,NA,NA,NA
S000000210,UGA2,NA,NA,NA,NA
S000000211,DSF2,NA,NA,NA,NA
S000000212,FLR1,NA,NA,NA,NA
S000000213,HHF1,NA,NA,NA,NA
S000000214,HHT1,NA,NA,NA,NA
S000000215,IPP1,NA,NA,NA,NA
S000000216,YBR012C,NA,NA,NA,NA
S000000217,YBR013C,NA,NA,NA,NA
S000000218,GRX7,NA,NA,NA,NA
S000000219,MNN2,NA,NA,NA,NA
S000000220,YBR016W,NA,NA,NA,NA
S000000221,KAP104,NA,NA,NA,NA
S000000222,GAL7,NA,NA,NA,NA
S000000223,GAL10,NA,NA,NA,NA
S000000224,GAL1,NA,NA,NA,NA
S000000225,FUR4,NA,NA,NA,NA
S000000226,POA1,NA,NA,NA,NA
S000000227,CHS3,NA,NA,NA,NA
S000000228,SCO2,NA,NA,NA,NA
S000000229,OLA1,NA,NA,NA,NA
S000000230,ETR1,NA,NA,NA,NA
S000000231,YBR027C,NA,NA,NA,NA
