"allele_id","item_id"
"S000000042-KanMX","rec20361"
"S000000042","rec20361"
"S000000041-KanMX","rec20362"
"S000000041","rec20362"
"S000000040-KanMX","rec20363"
"S000000040","rec20363"
"S000002138-KanMX","rec20364"
"S000002138","rec20364"
"S000000039-KanMX","rec20365"
"S000000039","rec20365"
"S000000038-KanMX","rec20366"
"S000000038","rec20366"
"S000000037-KanMX","rec20367"
"S000000037","rec20367"
"S000000036-KanMX","rec20368"
"S000000036","rec20368"
"S000000035-KanMX","rec20369"
"S000000035","rec20369"
"S000000034-KanMX","rec20370"
"S000000034","rec20370"
"S000000033-KanMX","rec20371"
"S000000033","rec20371"
"S000000032-KanMX","rec20372"
"S000000032","rec20372"
"S000002137-KanMX","rec20373"
"S000002137","rec20373"
"S000002134-KanMX","rec20374"
"S000002134","rec20374"
"S000000031-KanMX","rec20375"
"S000000031","rec20375"
"S000000030-KanMX","rec20376"
"S000000030","rec20376"
"S000000029-KanMX","rec20377"
"S000000029","rec20377"
"S000000028-KanMX","rec20378"
"S000000028","rec20378"
"S000000027-KanMX","rec20379"
"S000000027","rec20379"
"S000000026-KanMX","rec20380"
"S000000026","rec20380"
"S000000025-KanMX","rec20381"
"S000000025","rec20381"
"S000000024-KanMX","rec20382"
"S000000024","rec20382"
"S000000023-KanMX","rec20383"
"S000000023","rec20383"
"S000000021-KanMX","rec20385"
"S000000021","rec20385"
"S000000020-KanMX","rec20386"
"S000000020","rec20386"
"S000000019-KanMX","rec20387"
"S000000019","rec20387"
"S000000018-KanMX","rec20388"
"S000000018","rec20388"
"S000000017-KanMX","rec20389"
"S000000017","rec20389"
"S000000016-KanMX","rec20390"
"S000000016","rec20390"
"S000000015-KanMX","rec20391"
"S000000015","rec20391"
"S000000013-KanMX","rec20393"
"S000000013","rec20393"
"S000000012-KanMX","rec20394"
"S000000012","rec20394"
"S000000011-KanMX","rec20395"
"S000000011","rec20395"
"S000000009-KanMX","rec20397"
"S000000009","rec20397"
"S000000008-KanMX","rec20398"
"S000000008","rec20398"
"S000000007-KanMX","rec20399"
"S000000007","rec20399"
"S000000006-KanMX","rec20400"
"S000000006","rec20400"
"S000000005-KanMX","rec20401"
"S000000005","rec20401"
"S000002136-KanMX","rec20402"
"S000002136","rec20402"
"S000000004-KanMX","rec20403"
"S000000004","rec20403"
"S000000003-KanMX","rec20404"
"S000000003","rec20404"
"S000000002-KanMX","rec20405"
"S000000002","rec20405"
"S000000063-KanMX","rec20407"
"S000000063","rec20407"
"S000000064-KanMX","rec20408"
"S000000064","rec20408"
"S000000065-KanMX","rec20409"
"S000000065","rec20409"
"S000000066-KanMX","rec20410"
"S000000066","rec20410"
"S000000069-KanMX","rec20413"
"S000000069","rec20413"
"S000000070-KanMX","rec20414"
"S000000070","rec20414"
"S000000071-KanMX","rec20415"
"S000000071","rec20415"
"S000000072-KanMX","rec20416"
"S000000072","rec20416"
"S000000073-KanMX","rec20417"
"S000000073","rec20417"
"S000000074-KanMX","rec20418"
"S000000074","rec20418"
"S000000075-KanMX","rec20419"
"S000000075","rec20419"
"S000000076-KanMX","rec20420"
"S000000076","rec20420"
"S000000077-KanMX","rec20421"
"S000000077","rec20421"
"S000000078-KanMX","rec20422"
"S000000078","rec20422"
"S000001821-KanMX","rec20423"
"S000001821","rec20423"
"S000000080-KanMX","rec20425"
"S000000080","rec20425"
"YAR037W-KanMX","rec20426"
"YAR037W","rec20426"
"YAR040C-KanMX","rec20427"
"YAR040C","rec20427"
"S000000081-KanMX","rec20428"
"S000000081","rec20428"
"S000120182-KanMX","rec20429"
"S000120182","rec20429"
"S000000081-KanMX","rec20430"
"S000000081","rec20430"
"S000000083-KanMX","rec20431"
"S000000083","rec20431"
"S000004554-KanMX","rec20481"
"S000004554","rec20481"
"S000004553-KanMX","rec20482"
"S000004553","rec20482"
"S000004552-KanMX","rec20483"
"S000004552","rec20483"
"S000004551-KanMX","rec20484"
"S000004551","rec20484"
