strain_collection_id,strain_id,plate,row,column,plate_control,strain_collection_notes
MATa-deletion-384,rec2670,1,J,9,TRUE,NA
MATa-deletion-384,rec408,1,J,10,TRUE,NA
MATa-deletion-384,rec2672,1,J,11,TRUE,NA
MATa-deletion-384,rec413,1,J,12,TRUE,NA
MATa-deletion-384,rec2673,1,J,13,TRUE,NA
MATa-deletion-384,rec414,1,J,14,TRUE,NA
MATa-deletion-384,rec2674,1,J,15,TRUE,NA
MATa-deletion-384,rec415,1,J,16,TRUE,NA
MATa-deletion-384,rec2675,1,J,17,TRUE,NA
MATa-deletion-384,rec417,1,J,18,TRUE,NA
MATa-deletion-384,rec2676,1,J,19,TRUE,NA
MATa-deletion-384,rec418,1,J,20,TRUE,NA
MATa-deletion-384,rec2678,1,J,21,TRUE,NA
MATa-deletion-384,rec419,1,J,22,TRUE,NA
MATa-deletion-384,rec2679,1,J,23,TRUE,NA
MATa-deletion-384,rec420,1,J,24,TRUE,NA
MATa-deletion-384,rec788,1,K,1,TRUE,NA
MATa-deletion-384,rec570,1,K,2,TRUE,NA
MATa-deletion-384,rec790,1,K,3,TRUE,NA
MATa-deletion-384,rec571,1,K,4,TRUE,NA
MATa-deletion-384,rec791,1,K,5,TRUE,NA
MATa-deletion-384,rec572,1,K,6,TRUE,NA
MATa-deletion-384,rec792,1,K,7,TRUE,NA
MATa-deletion-384,rec573,1,K,8,TRUE,NA
MATa-deletion-384,rec793,1,K,9,TRUE,NA
MATa-deletion-384,rec574,1,K,10,TRUE,NA
MATa-deletion-384,rec796,1,K,11,TRUE,NA
MATa-deletion-384,rec575,1,K,12,TRUE,NA
MATa-deletion-384,rec800,1,K,13,TRUE,NA
MATa-deletion-384,rec577,1,K,14,TRUE,NA
MATa-deletion-384,rec801,1,K,15,TRUE,NA
MATa-deletion-384,rec578,1,K,16,TRUE,NA
MATa-deletion-384,rec802,1,K,17,TRUE,NA
MATa-deletion-384,rec581,1,K,18,TRUE,NA
MATa-deletion-384,rec805,1,K,19,TRUE,NA
MATa-deletion-384,rec582,1,K,20,TRUE,NA
MATa-deletion-384,rec807,1,K,21,TRUE,NA
MATa-deletion-384,rec583,1,K,22,TRUE,NA
MATa-deletion-384,rec808,1,K,23,TRUE,NA
MATa-deletion-384,rec584,1,K,24,TRUE,NA
MATa-deletion-384,rec2680,1,L,1,TRUE,NA
MATa-deletion-384,rec421,1,L,2,TRUE,NA
MATa-deletion-384,rec2681,1,L,3,TRUE,NA
MATa-deletion-384,rec422,1,L,4,TRUE,NA
MATa-deletion-384,rec2683,1,L,5,TRUE,NA
MATa-deletion-384,rec423,1,L,6,TRUE,NA
MATa-deletion-384,rec2684,1,L,7,TRUE,NA
MATa-deletion-384,rec425,1,L,8,TRUE,NA
MATa-deletion-384,rec2685,1,L,9,TRUE,NA
MATa-deletion-384,rec426,1,L,10,TRUE,NA
MATa-deletion-384,rec2688,1,L,11,TRUE,NA
MATa-deletion-384,rec427,1,L,12,TRUE,NA
MATa-deletion-384,rec2690,1,L,13,TRUE,NA
MATa-deletion-384,rec428,1,L,14,TRUE,NA
MATa-deletion-384,rec2691,1,L,15,TRUE,NA
MATa-deletion-384,rec429,1,L,16,TRUE,NA
MATa-deletion-384,rec2692,1,L,17,TRUE,NA
MATa-deletion-384,rec430,1,L,18,TRUE,NA
MATa-deletion-384,rec2693,1,L,19,TRUE,NA
MATa-deletion-384,rec431,1,L,20,TRUE,NA
MATa-deletion-384,rec2694,1,L,21,TRUE,NA
MATa-deletion-384,rec1489,1,L,22,TRUE,NA
MATa-deletion-384,rec2695,1,L,23,TRUE,NA
MATa-deletion-384,rec1490,1,L,24,TRUE,NA
MATa-deletion-384,rec809,1,M,1,TRUE,NA
MATa-deletion-384,rec585,1,M,2,TRUE,NA
MATa-deletion-384,rec810,1,M,3,TRUE,NA
MATa-deletion-384,rec586,1,M,4,TRUE,NA
MATa-deletion-384,rec811,1,M,5,TRUE,NA
MATa-deletion-384,rec587,1,M,6,TRUE,NA
MATa-deletion-384,rec812,1,M,7,TRUE,NA
MATa-deletion-384,rec589,1,M,8,TRUE,NA
MATa-deletion-384,rec814,1,M,9,TRUE,NA
MATa-deletion-384,rec590,1,M,10,TRUE,NA
MATa-deletion-384,rec816,1,M,11,TRUE,NA
MATa-deletion-384,rec591,1,M,12,TRUE,NA
MATa-deletion-384,rec817,1,M,13,TRUE,NA
MATa-deletion-384,rec592,1,M,14,TRUE,NA
MATa-deletion-384,rec818,1,M,15,TRUE,NA
MATa-deletion-384,rec593,1,M,16,TRUE,NA
MATa-deletion-384,rec819,1,M,17,TRUE,NA
MATa-deletion-384,rec594,1,M,18,TRUE,NA
MATa-deletion-384,rec820,1,M,19,TRUE,NA
MATa-deletion-384,rec595,1,M,20,TRUE,NA
MATa-deletion-384,rec823,1,M,21,TRUE,NA
MATa-deletion-384,rec596,1,M,22,TRUE,NA
MATa-deletion-384,rec824,1,M,23,TRUE,NA
MATa-deletion-384,rec597,1,M,24,TRUE,NA
MATa-deletion-384,rec2696,1,N,1,TRUE,NA
MATa-deletion-384,rec1493,1,N,2,TRUE,NA
MATa-deletion-384,rec2698,1,N,3,TRUE,NA
MATa-deletion-384,rec1494,1,N,4,TRUE,NA
MATa-deletion-384,rec2700,1,N,5,TRUE,NA
MATa-deletion-384,rec1497,1,N,6,TRUE,NA
MATa-deletion-384,rec2701,1,N,7,TRUE,NA
MATa-deletion-384,rec1498,1,N,8,TRUE,NA
MATa-deletion-384,rec2702,1,N,9,TRUE,NA
MATa-deletion-384,rec1500,1,N,10,TRUE,NA
MATa-deletion-384,rec2703,1,N,11,TRUE,NA
MATa-deletion-384,rec1501,1,N,12,TRUE,NA
MATa-deletion-384,rec2704,1,N,13,TRUE,NA
MATa-deletion-384,rec1502,1,N,14,TRUE,NA
MATa-deletion-384,rec2705,1,N,15,TRUE,NA
MATa-deletion-384,rec1503,1,N,16,TRUE,NA
MATa-deletion-384,rec2706,1,N,17,TRUE,NA
MATa-deletion-384,rec1504,1,N,18,TRUE,NA
MATa-deletion-384,rec2707,1,N,19,TRUE,NA
MATa-deletion-384,rec1505,1,N,20,TRUE,NA
MATa-deletion-384,rec2708,1,N,21,TRUE,NA
MATa-deletion-384,rec1507,1,N,22,TRUE,NA
MATa-deletion-384,rec2709,1,N,23,TRUE,NA
MATa-deletion-384,rec1508,1,N,24,TRUE,NA
MATa-deletion-384,rec827,1,O,1,TRUE,NA
MATa-deletion-384,rec598,1,O,2,TRUE,NA
MATa-deletion-384,blank,1,O,3,TRUE,NA
MATa-deletion-384,blank,1,O,4,TRUE,NA
MATa-deletion-384,rec828,1,O,5,TRUE,NA
MATa-deletion-384,rec599,1,O,6,TRUE,NA
MATa-deletion-384,rec829,1,O,7,TRUE,NA
MATa-deletion-384,rec600,1,O,8,TRUE,NA
MATa-deletion-384,rec830,1,O,9,TRUE,NA
MATa-deletion-384,rec601,1,O,10,TRUE,NA
MATa-deletion-384,rec831,1,O,11,TRUE,NA
MATa-deletion-384,rec602,1,O,12,TRUE,NA
MATa-deletion-384,rec832,1,O,13,TRUE,NA
MATa-deletion-384,rec604,1,O,14,TRUE,NA
MATa-deletion-384,rec833,1,O,15,TRUE,NA
MATa-deletion-384,rec605,1,O,16,TRUE,NA
MATa-deletion-384,rec834,1,O,17,TRUE,NA
MATa-deletion-384,rec606,1,O,18,TRUE,NA
MATa-deletion-384,rec835,1,O,19,TRUE,NA
MATa-deletion-384,rec607,1,O,20,TRUE,NA
